akcijskousmerjevalnega | AKCIJSKOUSMERJEVALEN - [pravopis]
starejšepleistocenskem | STAREJŠEPLEISTOCENSKI - > GUNŠKI - [geog.] v zvezi »günška poledenitev«: starejšepleistocenska poledenitev v Alpah, med okrog 500.000 in 350.000 leti pred sedanjostjo, primerljiva z elstrsko poledenitvijo na severu Evrope in s kansaško poledenitvijo v Severni Ameriki
starejšepleistocenskih | STAREJŠEPLEISTOCENSKI - > GUNŠKI - [geog.] v zvezi »günška poledenitev«: starejšepleistocenska poledenitev v Alpah, med okrog 500.000 in 350.000 leti pred sedanjostjo, primerljiva z elstrsko poledenitvijo na severu Evrope in s kansaško poledenitvijo v Severni Ameriki
starejšepleistocenskim | STAREJŠEPLEISTOCENSKI - > GUNŠKI - [geog.] v zvezi »günška poledenitev«: starejšepleistocenska poledenitev v Alpah, med okrog 500.000 in 350.000 leti pred sedanjostjo, primerljiva z elstrsko poledenitvijo na severu Evrope in s kansaško poledenitvijo v Severni Ameriki
starocerkvenoslovanska | STAROCERKVENOSLOVANSKI - nanašajoč se na staro cerkveno slovanščino
starocerkvenoslovanske | STAROCERKVENOSLOVANSKI - nanašajoč se na staro cerkveno slovanščino
starocerkvenoslovanski | nanašajoč se na staro cerkveno slovanščino
starocerkvenoslovansko | STAROCERKVENOSLOVANSKI - nanašajoč se na staro cerkveno slovanščino
stereofotogrametrijama | STEREOFOTOGRAMETRIJA - fotografiranje zemeljskega površja s stereoskopskim fotografskim aparatom za izdelovanje zemljevidov
stereofotogrametrijami | STEREOFOTOGRAMETRIJA - fotografiranje zemeljskega površja s stereoskopskim fotografskim aparatom za izdelovanje zemljevidov
strankarskopolitičnega | STRANKARSKOPOLITIČEN - nanašajoč se na strankarsko politiko
strankarskopolitičnemu | STRANKARSKOPOLITIČEN - nanašajoč se na strankarsko politiko
strankarskopolitičnima | STRANKARSKOPOLITIČEN - nanašajoč se na strankarsko politiko
strankarskopolitičnimi | STRANKARSKOPOLITIČEN - nanašajoč se na strankarsko politiko
superplastifikatorjema | SUPERPLASTIFIKATOR - [b.k.] plastifikator druge generacije, ki omogoča višje znižanje vsebnosti vode v svežem betonu in znatno povečanje razleza
superveleslalomistkama | SUPERVELESLALOMISTKA - [smuč.] ženska, ki se ljubiteljsko ali tekmovalno ukvarja s superveleslalomom
superveleslalomistkami | SUPERVELESLALOMISTKA - [smuč.] ženska, ki se ljubiteljsko ali tekmovalno ukvarja s superveleslalomom
športnoinformacijskega | ŠPORTNOINFORMACIJSKI - [epravopis] nanašajoč se na športne informacije
športnoinformacijskemu | ŠPORTNOINFORMACIJSKI - [epravopis] nanašajoč se na športne informacije
športnoinformacijskima | ŠPORTNOINFORMACIJSKI - [epravopis] nanašajoč se na športne informacije
športnoinformacijskimi | ŠPORTNOINFORMACIJSKI - [epravopis] nanašajoč se na športne informacije
tehničnoinformativnega | TEHNIČNOINFORMATIVEN - [pravopis]
tehničnoinformativnemu | TEHNIČNOINFORMATIVEN - [pravopis]
tehničnoinformativnima | TEHNIČNOINFORMATIVEN - [pravopis]
tehničnoinformativnimi | TEHNIČNOINFORMATIVEN - [pravopis]
tetragontritetraedroma | TETRAGONTRITETRAEDER - [geol.] kristalni lik v kubičnem kristalografskem sistemu, ki ima na vsaki ploskvi tetraedra tri deltoide
tetrahidrokanabinoloma | TETRAHIDROKANABINOL - [bot.]
tetrahidropirimidinska | TETRAHIDROPIRIMIDINSKI - [farm.] v zvezi »tetrahidropirimidinski derivat«: anthelmintik, ki vsebuje tetrahidropirimidinski obroč in povzroči paralizo parazitov v prebavnem traktu, da se lažje izločijo iz organizma, npr. pirantel
tetrahidropirimidinske | TETRAHIDROPIRIMIDINSKI - [farm.] v zvezi »tetrahidropirimidinski derivat«: anthelmintik, ki vsebuje tetrahidropirimidinski obroč in povzroči paralizo parazitov v prebavnem traktu, da se lažje izločijo iz organizma, npr. pirantel
tetrahidropirimidinski | [farm.] v zvezi »tetrahidropirimidinski derivat«: anthelmintik, ki vsebuje tetrahidropirimidinski obroč in povzroči paralizo parazitov v prebavnem traktu, da se lažje izločijo iz organizma, npr. pirantel
tetrahidropirimidinsko | TETRAHIDROPIRIMIDINSKI - [farm.] v zvezi »tetrahidropirimidinski derivat«: anthelmintik, ki vsebuje tetrahidropirimidinski obroč in povzroči paralizo parazitov v prebavnem traktu, da se lažje izločijo iz organizma, npr. pirantel
tradicionalističnostih | TRADICIONALISTIČNOST - [pravopis]
tradicionalističnostim | TRADICIONALISTIČNOST - [pravopis]
tradicionalističnostjo | TRADICIONALISTIČNOST - [pravopis]
tradicionalističnostma | TRADICIONALISTIČNOST - [pravopis]
tradicionalističnostmi | TRADICIONALISTIČNOST - [pravopis]
transdisciplinarnostih | TRANSDISCIPLINARNOST - lastnost transdisciplinarnega
transdisciplinarnostim | TRANSDISCIPLINARNOST - lastnost transdisciplinarnega
transdisciplinarnostjo | TRANSDISCIPLINARNOST - lastnost transdisciplinarnega
transdisciplinarnostma | TRANSDISCIPLINARNOST - lastnost transdisciplinarnega
transdisciplinarnostmi | TRANSDISCIPLINARNOST - lastnost transdisciplinarnega
transnacionalizacijama | TRANSNACIONALIZACIJA - širjenje delovanja in vpliva prek državnih meja
transnacionalizacijami | TRANSNACIONALIZACIJA - širjenje delovanja in vpliva prek državnih meja
turističnopropagandnem | TURISTIČNOPROPAGANDEN - nanašajoč se na turistično propagando
turističnopropagandnih | TURISTIČNOPROPAGANDEN - nanašajoč se na turistično propagando
turističnopropagandnim | TURISTIČNOPROPAGANDEN - nanašajoč se na turistično propagando
ultranacionalističnega | ULTRANACIONALISTIČEN - skrajno nacionalističen
ultranacionalističnemu | ULTRANACIONALISTIČEN - skrajno nacionalističen
ultranacionalističnima | ULTRANACIONALISTIČEN - skrajno nacionalističen
ultranacionalističnimi | ULTRANACIONALISTIČEN - skrajno nacionalističen
umetnostnogeografskega | UMETNOSTNOGEOGRAFSKI - nanašajoč se na umetnostno geografijo
umetnostnogeografskemu | UMETNOSTNOGEOGRAFSKI - nanašajoč se na umetnostno geografijo
umetnostnogeografskima | UMETNOSTNOGEOGRAFSKI - nanašajoč se na umetnostno geografijo
umetnostnogeografskimi | UMETNOSTNOGEOGRAFSKI - nanašajoč se na umetnostno geografijo
umetnostnoterapevtskem | UMETNOSTNOTERAPEVTSKI - [pravopis]
umetnostnoterapevtskih | UMETNOSTNOTERAPEVTSKI - [pravopis]
umetnostnoterapevtskim | UMETNOSTNOTERAPEVTSKI - [pravopis]
umetnostnozgodovinskem | UMETNOSTNOZGODOVINSKI - nanašajoč se na umetnostno zgodovino
umetnostnozgodovinskih | UMETNOSTNOZGODOVINSKI - nanašajoč se na umetnostno zgodovino
umetnostnozgodovinskim | UMETNOSTNOZGODOVINSKI - nanašajoč se na umetnostno zgodovino
upravnoorganizacijskem | UPRAVNOORGANIZACIJSKI - [pravopis]
upravnoorganizacijskih | UPRAVNOORGANIZACIJSKI - [pravopis]
upravnoorganizacijskim | UPRAVNOORGANIZACIJSKI - [pravopis]
ustavobraniteljičinega | USTAVOBRANITELJIČIN - [pravopis]
ustavobraniteljičinemu | USTAVOBRANITELJIČIN - [pravopis]
ustavobraniteljičinima | USTAVOBRANITELJIČIN - [pravopis]
ustavobraniteljičinimi | USTAVOBRANITELJIČIN - [pravopis]
ustničnomehkonebnikoma | USTNIČNOMEHKONEBNIK - [pravopis]
varnostnoinformativnem | VARNOSTNOINFORMATIVEN - [pravopis]
varnostnoinformativnih | VARNOSTNOINFORMATIVEN - [pravopis]
varnostnoinformativnim | VARNOSTNOINFORMATIVEN - [pravopis]
varnostnoobveščevalnem | VARNOSTNOOBVEŠČEVALEN - [pravopis]
varnostnoobveščevalnih | VARNOSTNOOBVEŠČEVALEN - [pravopis]
varnostnoobveščevalnim | VARNOSTNOOBVEŠČEVALEN - [pravopis]
visokokvalificiranosti | VISOKOKVALIFICIRANOST - [pravopis]
zasebnokapitalističnem | ZASEBNOKAPITALISTIČEN - [pravopis]
zasebnokapitalističnih | ZASEBNOKAPITALISTIČEN - [pravopis]
zasebnokapitalističnim | ZASEBNOKAPITALISTIČEN - [pravopis]
zdraviliškoturističnem | ZDRAVILIŠKOTURISTIČEN - [pravopis]
zdraviliškoturističnih | ZDRAVILIŠKOTURISTIČEN - [pravopis]
zdraviliškoturističnim | ZDRAVILIŠKOTURISTIČEN - [pravopis]
zgodnjebronastodobnega | ZGODNJEBRONASTODOBEN - nanašajoč se na zgodnjo bronasto dobo
zgodnjebronastodobnemu | ZGODNJEBRONASTODOBEN - nanašajoč se na zgodnjo bronasto dobo
zgodnjebronastodobnima | ZGODNJEBRONASTODOBEN - nanašajoč se na zgodnjo bronasto dobo
zgodnjebronastodobnimi | ZGODNJEBRONASTODOBEN - nanašajoč se na zgodnjo bronasto dobo
zgodnjekapitalističnem | ZGODNJEKAPITALISTIČEN - nanašajoč se na zgodnji kapitalizem
zgodnjekapitalističnih | ZGODNJEKAPITALISTIČEN - nanašajoč se na zgodnji kapitalizem
zgodnjekapitalističnim | ZGODNJEKAPITALISTIČEN - nanašajoč se na zgodnji kapitalizem
zgodnjepleistocenskega | ZGODNJEPLEISTOCENSKI - > TEGELENSKI - [geog.] v zvezi »tegelenska otoplitev«: zgodnjepleistocenska otoplitev na severu Evrope, med eburonsko in predtegelensko ohladitvijo
zgodnjepleistocenskemu | ZGODNJEPLEISTOCENSKI - > TEGELENSKI - [geog.] v zvezi »tegelenska otoplitev«: zgodnjepleistocenska otoplitev na severu Evrope, med eburonsko in predtegelensko ohladitvijo
zgodnjepleistocenskima | ZGODNJEPLEISTOCENSKI - > TEGELENSKI - [geog.] v zvezi »tegelenska otoplitev«: zgodnjepleistocenska otoplitev na severu Evrope, med eburonsko in predtegelensko ohladitvijo
zgodnjepleistocenskimi | ZGODNJEPLEISTOCENSKI - > TEGELENSKI - [geog.] v zvezi »tegelenska otoplitev«: zgodnjepleistocenska otoplitev na severu Evrope, med eburonsko in predtegelensko ohladitvijo
zgodovinskopolitičnega | ZGODOVINSKOPOLITIČEN - [pravopis]
zgodovinskopolitičnemu | ZGODOVINSKOPOLITIČEN - [pravopis]
zgodovinskopolitičnima | ZGODOVINSKOPOLITIČEN - [pravopis]
zgodovinskopolitičnimi | ZGODOVINSKOPOLITIČEN - [pravopis]
zindividualiziranostih | ZINDIVIDUALIZIRANOST - [pravopis]
zindividualiziranostim | ZINDIVIDUALIZIRANOST - [pravopis]
zindividualiziranostjo | ZINDIVIDUALIZIRANOST - [pravopis]
zindividualiziranostma | ZINDIVIDUALIZIRANOST - [pravopis]
zindividualiziranostmi | ZINDIVIDUALIZIRANOST - [pravopis]
zintelektualiziranosti | ZINTELEKTUALIZIRANOST - [pravopis]
znanstvenofantastičnem | ZNANSTVENOFANTASTIČEN - nanašajoč se na znanstveno fantastiko
znanstvenofantastičnih | ZNANSTVENOFANTASTIČEN - nanašajoč se na znanstveno fantastiko
znanstvenofantastičnim | ZNANSTVENOFANTASTIČEN - nanašajoč se na znanstveno fantastiko
znanstvenoraziskovalen | nanašajoč se na znanstveno raziskovanje
znanstvenoraziskovalna | ZNANSTVENORAZISKOVALEN - nanašajoč se na znanstveno raziskovanje
znanstvenoraziskovalne | ZNANSTVENORAZISKOVALEN - nanašajoč se na znanstveno raziskovanje
znanstvenoraziskovalni | ZNANSTVENORAZISKOVALEN - nanašajoč se na znanstveno raziskovanje
znanstvenoraziskovalno | ZNANSTVENORAZISKOVALEN - nanašajoč se na znanstveno raziskovanje
živilskopredelovalnega | ŽIVILSKOPREDELOVALEN - nanašajoč se na predelovanje živil
živilskopredelovalnemu | ŽIVILSKOPREDELOVALEN - nanašajoč se na predelovanje živil
živilskopredelovalnima | ŽIVILSKOPREDELOVALEN - nanašajoč se na predelovanje živil
živilskopredelovalnimi | ŽIVILSKOPREDELOVALEN - nanašajoč se na predelovanje živil
