absoluciji | ABSOLUCIJA - odpuščenje grehov ali cerkvenih kazni
absolucijo | ABSOLUCIJA - odpuščenje grehov ali cerkvenih kazni
absolutist | oblastnik, ki ima vso oblast
absolutnem | ABSOLUTEN - prislov od absoluten
absolutnih | ABSOLUTEN - prislov od absoluten
absolutnim | ABSOLUTEN - prislov od absoluten
absolutoma | ABSOLUTUM - kar je absolutno
absolutuma | ABSOLUTUM - kar je absolutno
absolutume | ABSOLUTUM - kar je absolutno
absolutumi | ABSOLUTUM - kar je absolutno
absolutumu | ABSOLUTUM - kar je absolutno
absolventa | ABSOLVENT - kdor dokonča šolo
absolvente | ABSOLVENT - kdor dokonča šolo
absolventi | ABSOLVENT - kdor dokonča šolo
absolventk | ABSOLVENTKA - ženska, ki dokonča šolo
absolventu | ABSOLVENT - kdor dokonča šolo
absolviraj | ABSOLVIRATI - dokončati šolo
absolviral | ABSOLVIRATI - dokončati šolo
absolviram | ABSOLVIRATI - dokončati šolo
absolviran | ABSOLVIRATI - dokončati šolo
absolviraš | ABSOLVIRATI - dokončati šolo
absolvirat | ABSOLVIRATI - dokončati šolo
absorbanca | [farm.] logaritem razmerja med intenziteto svetlobe določene valovne dolžine pred vstopom in po izstopu iz raztopine
absorbance | ABSORBANCA - [farm.] logaritem razmerja med intenziteto svetlobe določene valovne dolžine pred vstopom in po izstopu iz raztopine
absorbanci | ABSORBANCA - [farm.] logaritem razmerja med intenziteto svetlobe določene valovne dolžine pred vstopom in po izstopu iz raztopine
absorbanco | ABSORBANCA - [farm.] logaritem razmerja med intenziteto svetlobe določene valovne dolžine pred vstopom in po izstopu iz raztopine
absorbcija | [pravopis]
absorbcije | ABSORBCIJA - [pravopis]
absorbciji | ABSORBCIJA - [pravopis]
absorbcijo | ABSORBCIJA - [pravopis]
absorbensa | ABSORBENS - [farm.] snov, ki vsrka plin, tekočino, toploto, žarke, npr. svinčeve plošče pri snemanju z X-žarki
absorbense | ABSORBENS - [farm.] snov, ki vsrka plin, tekočino, toploto, žarke, npr. svinčeve plošče pri snemanju z X-žarki
absorbensi | ABSORBENS - [farm.] snov, ki vsrka plin, tekočino, toploto, žarke, npr. svinčeve plošče pri snemanju z X-žarki
absorbensu | ABSORBENS - [farm.] snov, ki vsrka plin, tekočino, toploto, žarke, npr. svinčeve plošče pri snemanju z X-žarki
absorbenta | ABSORBENT - [farm.] snov, ki vsrka plin, tekočino, toploto, žarke, npr. svinčeve plošče pri snemanju z X-žarki
absorbente | ABSORBENT - [farm.] snov, ki vsrka plin, tekočino, toploto, žarke, npr. svinčeve plošče pri snemanju z X-žarki
absorbenti | ABSORBENT - [farm.] snov, ki vsrka plin, tekočino, toploto, žarke, npr. svinčeve plošče pri snemanju z X-žarki
absorbentu | ABSORBENT - [farm.] snov, ki vsrka plin, tekočino, toploto, žarke, npr. svinčeve plošče pri snemanju z X-žarki
absorberja | ABSORBER - [plan.] v zvezi »absorber sunka«: plezalna priprava za ublažitev padca ali zdrsa, izdelana iz cikcak zloženega in prešitega traku, v kateri se porabi del energije sunka za razparanje šivov
absorberje | ABSORBER - [plan.] v zvezi »absorber sunka«: plezalna priprava za ublažitev padca ali zdrsa, izdelana iz cikcak zloženega in prešitega traku, v kateri se porabi del energije sunka za razparanje šivov
absorberji | ABSORBER - [plan.] v zvezi »absorber sunka«: plezalna priprava za ublažitev padca ali zdrsa, izdelana iz cikcak zloženega in prešitega traku, v kateri se porabi del energije sunka za razparanje šivov
absorberju | ABSORBER - [plan.] v zvezi »absorber sunka«: plezalna priprava za ublažitev padca ali zdrsa, izdelana iz cikcak zloženega in prešitega traku, v kateri se porabi del energije sunka za razparanje šivov
absorbiraj | ABSORBIRATI - sprejemati vase
absorbiral | ABSORBIRATI - sprejemati vase
absorbiram | ABSORBIRATI - sprejemati vase
absorbiran | [pravopis]
absorbiraš | ABSORBIRATI - sprejemati vase
absorbirat | ABSORBIRATI - sprejemati vase
absorbirna | ABSORBIRNI - [sinonimni]
absorbirne | ABSORBIRNI - [sinonimni]
absorbirni | [sinonimni]
absorbirno | ABSORBIRNI - [sinonimni]
absorpcija | [gas.] sposobnost snovi, da vsrka, veže ali sprejema plin, tekočino, drugo snov ali energijo, npr. absorbent pri sanaciji razlitja bencina
absorpcije | ABSORPCIJA
absorpciji | ABSORPCIJA
absorpcijo | ABSORPCIJA
abstinenca | odpoved čemu, zdržnost
abstinence | ABSTINENCA - odpoved čemu, zdržnost
abstinenci | ABSTINENCA - odpoved čemu, zdržnost
abstinenco | ABSTINENCA - odpoved čemu, zdržnost
abstinenta | ABSTINENT - kdor se zdržuje alkoholnih pijač, droge
abstinente | ABSTINENT - kdor se zdržuje alkoholnih pijač, droge
abstinenti | ABSTINENT - kdor se zdržuje alkoholnih pijač, droge
abstinentk | ABSTINENTKA - ženska, ki se zdržuje alkoholnih pijač, droge
abstinentu | ABSTINENT - kdor se zdržuje alkoholnih pijač, droge
abstiniraj | ABSTINIRATI - ne udeležiti se, ne sodelovati, zdržati se
abstiniral | ABSTINIRATI - ne udeležiti se, ne sodelovati, zdržati se
abstiniram | ABSTINIRATI - ne udeležiti se, ne sodelovati, zdržati se
abstiniraš | ABSTINIRATI - ne udeležiti se, ne sodelovati, zdržati se
abstinirat | ABSTINIRATI - ne udeležiti se, ne sodelovati, zdržati se
abstrahira | ABSTRAHIRATI - ne upoštevati, v mislih izvzeti kaj, odmisliti
abstrakcij | ABSTRAKCIJA - proces odmišljanja
abstrakten | s čuti nezaznaven, pojmoven, miseln
abstraktih | ABSTRAKTUM - kar je nastalo z abstrakcijo
abstraktna | ABSTRAKTEN - s čuti nezaznaven, pojmoven, miseln
abstraktne | ABSTRAKTEN - s čuti nezaznaven, pojmoven, miseln
abstraktni | ABSTRAKTEN - s čuti nezaznaven, pojmoven, miseln
abstraktno | ABSTRAKTEN - s čuti nezaznaven, pojmoven, miseln
abstraktom | ABSTRAKTUM - kar je nastalo z abstrakcijo
abstraktov | ABSTRAKTUM - kar je nastalo z abstrakcijo
abstraktum | kar je nastalo z abstrakcijo
abstruznem | ABSTRUZEN - težko razumljiv, nejasen
abstruznih | ABSTRUZEN - težko razumljiv, nejasen
abstruznim | ABSTRUZEN - težko razumljiv, nejasen
absurdnega | ABSURDEN - ki je v nasprotju z logiko, nesmiseln
absurdnemu | ABSURDEN - ki je v nasprotju z logiko, nesmiseln
absurdnima | ABSURDEN - ki je v nasprotju z logiko, nesmiseln
absurdnimi | ABSURDEN - ki je v nasprotju z logiko, nesmiseln
absurdnost | lastnost, značilnost absurdnega
abšminkajo | ABŠMINKATI - [gled.] odstraniti ličila in druge pripomočke z obraza, telesa nastopajočega
abšminkala | ABŠMINKATI - [gled.] odstraniti ličila in druge pripomočke z obraza, telesa nastopajočega
abšminkale | ABŠMINKATI - [gled.] odstraniti ličila in druge pripomočke z obraza, telesa nastopajočega
abšminkali | ABŠMINKATI - [gled.] odstraniti ličila in druge pripomočke z obraza, telesa nastopajočega
abšminkalo | ABŠMINKATI - [gled.] odstraniti ličila in druge pripomočke z obraza, telesa nastopajočega
abšminkamo | ABŠMINKATI - [gled.] odstraniti ličila in druge pripomočke z obraza, telesa nastopajočega
abšminkanj | ABŠMINKANJE - [gled.] odstranjevanje ličil in drugih pripomočkov z obraza, telesa nastopajočega
abšminkata | ABŠMINKATI - [gled.] odstraniti ličila in druge pripomočke z obraza, telesa nastopajočega
abšminkate | ABŠMINKATI - [gled.] odstraniti ličila in druge pripomočke z obraza, telesa nastopajočega
abšminkati | [gled.] odstraniti ličila in druge pripomočke z obraza, telesa nastopajočega
abšminkava | ABŠMINKATI - [gled.] odstraniti ličila in druge pripomočke z obraza, telesa nastopajočega
abukirskem | ABUKIRSKI - [pravopis]
abukirskih | ABUKIRSKI - [pravopis]
abukirskim | ABUKIRSKI - [pravopis]
abundancah | ABUNDANCA - zelo velika množina česa
abundancam | ABUNDANCA - zelo velika množina česa
abundanten | pridevnik od abundanca
abundantna | ABUNDANTEN - pridevnik od abundanca
abundantne | ABUNDANTEN - pridevnik od abundanca
abundantni | ABUNDANTEN - pridevnik od abundanca
abundantno | ABUNDANTEN - pridevnik od abundanca
abuzivnega | ABUZIVEN - pridevnik od abuzus
abuzivnemu | ABUZIVEN - pridevnik od abuzus
abuzivnima | ABUZIVEN - pridevnik od abuzus
abuzivnimi | ABUZIVEN - pridevnik od abuzus
