abalienacijama | ABALIENACIJA
najposkočnejši | POSKOČEN - ki se lahkotno, živahno giblje, premika
najposkočnejšo | POSKOČEN - ki se lahkotno, živahno giblje, premika
najposlušnejša | POSLUŠEN - ki (rad) uboga
najposlušnejše | POSLUŠEN - ki (rad) uboga
najposlušnejši | POSLUŠEN - ki (rad) uboga
najposlušnejšo | POSLUŠEN - ki (rad) uboga
najpostavnejša | POSTAVEN - ki je krepke, lepe postave
najpostavnejše | POSTAVEN - ki je krepke, lepe postave
najpostavnejši | POSTAVEN - ki je krepke, lepe postave
najpostavnejšo | POSTAVEN - ki je krepke, lepe postave
najpošastnejša | POŠASTEN - ki ima veliko grozo vzbujajočih lastnosti
najpošastnejše | POŠASTEN - ki ima veliko grozo vzbujajočih lastnosti
najpošastnejši | POŠASTEN - ki ima veliko grozo vzbujajočih lastnosti
najpošastnejšo | POŠASTEN - ki ima veliko grozo vzbujajočih lastnosti
najpoštenejšem | POŠTEN - ki ravna v skladu z določenimi normami, priznanimi načeli
najpoštenejših | POŠTEN - ki ravna v skladu z določenimi normami, priznanimi načeli
najpoštenejšim | POŠTEN - ki ravna v skladu z določenimi normami, priznanimi načeli
najpotratnejša | POTRATEN - ki po nepotrebnem porablja dobrine
najpotratnejše | POTRATEN - ki po nepotrebnem porablja dobrine
najpotratnejši | POTRATEN - ki po nepotrebnem porablja dobrine
najpotratnejšo | POTRATEN - ki po nepotrebnem porablja dobrine
najpotrebnejša | POTREBEN - brez katerega določenega dela, dejavnosti ni mogoče zadovoljivo opravljati
najpotrebnejše | POTREBEN - brez katerega določenega dela, dejavnosti ni mogoče zadovoljivo opravljati
najpotrebnejši | POTREBEN - brez katerega določenega dela, dejavnosti ni mogoče zadovoljivo opravljati
najpotrebnejšo | POTREBEN - brez katerega določenega dela, dejavnosti ni mogoče zadovoljivo opravljati
najpoučnejšega | POUČEN - ki je usmerjen, teži k poučevanju
najpoučnejšemu | POUČEN - ki je usmerjen, teži k poučevanju
najpoučnejšima | POUČEN - ki je usmerjen, teži k poučevanju
najpoučnejšimi | POUČEN - ki je usmerjen, teži k poučevanju
najpovoljnejša | POVOLJEN
najpovoljnejše | POVOLJEN
najpovoljnejši | POVOLJEN
najpovoljnejšo | POVOLJEN
najpozornejšem | POZOREN - zavestno (miselno) zbran
najpozornejših | POZOREN - zavestno (miselno) zbran
najpozornejšim | POZOREN - zavestno (miselno) zbran
najpožrešnejša | POŽREŠEN - ki (rad) veliko jé
najpožrešnejše | POŽREŠEN - ki (rad) veliko jé
najpožrešnejši | POŽREŠEN - ki (rad) veliko jé
najpožrešnejšo | POŽREŠEN - ki (rad) veliko jé
najpravičnejša | PRAVIČEN - ki ravna v skladu z določenimi normami, priznanimi načeli
najpravičnejše | PRAVIČEN - ki ravna v skladu z določenimi normami, priznanimi načeli
najpravičnejši | PRAVIČEN - ki ravna v skladu z določenimi normami, priznanimi načeli
najpravičnejšo | PRAVIČEN - ki ravna v skladu z določenimi normami, priznanimi načeli
najpravilnejša | PRAVILEN - ki je v skladu
najpravilnejše | PRAVILEN - ki je v skladu
najpravilnejši | PRAVILEN - ki je v skladu
najpravilnejšo | PRAVILEN - ki je v skladu
najpreciznejša | PRECIZEN - narejen tako, da opravlja svojo nalogo v največji mogoči popolnosti, natančen
najpreciznejše | PRECIZEN - narejen tako, da opravlja svojo nalogo v največji mogoči popolnosti, natančen
najpreciznejši | PRECIZEN - narejen tako, da opravlja svojo nalogo v največji mogoči popolnosti, natančen
najpreciznejšo | PRECIZEN - narejen tako, da opravlja svojo nalogo v največji mogoči popolnosti, natančen
najpredrznejša | PREDRZEN - ki si v odnosu do ljudi preveč upa
najpredrznejše | PREDRZEN - ki si v odnosu do ljudi preveč upa
najpredrznejši | PREDRZEN - ki si v odnosu do ljudi preveč upa
najpredrznejšo | PREDRZEN - ki si v odnosu do ljudi preveč upa
najpremožnejša | PREMOŽEN - ki ima mnogo materialnih dobrin
najpremožnejše | PREMOŽEN - ki ima mnogo materialnih dobrin
najpremožnejši | PREMOŽEN - ki ima mnogo materialnih dobrin
najpremožnejšo | PREMOŽEN - ki ima mnogo materialnih dobrin
najprevidnejša | PREVIDEN - ki dela, si prizadeva, da se ne zgodi kaj neprijetnega, nezaželenega
najprevidnejše | PREVIDEN - ki dela, si prizadeva, da se ne zgodi kaj neprijetnega, nezaželenega
najprevidnejši | PREVIDEN - ki dela, si prizadeva, da se ne zgodi kaj neprijetnega, nezaželenega
najprevidnejšo | PREVIDEN - ki dela, si prizadeva, da se ne zgodi kaj neprijetnega, nezaželenega
najpridnejšega | PRIDEN - ki rad, dosti dela
najpridnejšemu | PRIDEN - ki rad, dosti dela
najpridnejšima | PRIDEN - ki rad, dosti dela
najpridnejšimi | PRIDEN - ki rad, dosti dela
najprijaznejša | PRIJAZEN - ki ima, kaže do ljudi blag, prijateljski odnos
najprijaznejše | PRIJAZEN - ki ima, kaže do ljudi blag, prijateljski odnos
najprijaznejši | PRIJAZEN - ki ima, kaže do ljudi blag, prijateljski odnos
najprijaznejšo | PRIJAZEN - ki ima, kaže do ljudi blag, prijateljski odnos
najprijetnejša | PRIJETEN - ki vzbuja občutek ugodja
najprijetnejše | PRIJETEN - ki vzbuja občutek ugodja
najprijetnejši | PRIJETEN - ki vzbuja občutek ugodja
najprijetnejšo | PRIJETEN - ki vzbuja občutek ugodja
najprikupnejša | PRIKUPEN - ki zaradi urejene zunanjosti, lepega vedenja vzbuja pozitiven čustveni odnos
najprikupnejše | PRIKUPEN - ki zaradi urejene zunanjosti, lepega vedenja vzbuja pozitiven čustveni odnos
najprikupnejši | PRIKUPEN - ki zaradi urejene zunanjosti, lepega vedenja vzbuja pozitiven čustveni odnos
najprikupnejšo | PRIKUPEN - ki zaradi urejene zunanjosti, lepega vedenja vzbuja pozitiven čustveni odnos
najpriletnejša | PRILETEN - ki ima razmeroma precej let
najpriletnejše | PRILETEN - ki ima razmeroma precej let
najpriletnejši | PRILETEN - ki ima razmeroma precej let
najpriletnejšo | PRILETEN - ki ima razmeroma precej let
najprimernejša | PRIMEREN - ki ima zaželene, potrebne lastnosti, značilnosti glede na kaj
najprimernejše | PRIMEREN - ki ima zaželene, potrebne lastnosti, značilnosti glede na kaj
najprimernejši | PRIMEREN - ki ima zaželene, potrebne lastnosti, značilnosti glede na kaj
najprimernejšo | PRIMEREN - ki ima zaželene, potrebne lastnosti, značilnosti glede na kaj
najpriročnejša | PRIROČEN - ki po velikosti, obliki dobro ustreza svojemu namenu
najpriročnejše | PRIROČEN - ki po velikosti, obliki dobro ustreza svojemu namenu
najpriročnejši | PRIROČEN - ki po velikosti, obliki dobro ustreza svojemu namenu
najpriročnejšo | PRIROČEN - ki po velikosti, obliki dobro ustreza svojemu namenu
najprisebnejša | PRISEBEN - ki v nepričakovanem, težkem položaju razumno, premišljeno ravna
najprisebnejše | PRISEBEN - ki v nepričakovanem, težkem položaju razumno, premišljeno ravna
najprisebnejši | PRISEBEN - ki v nepričakovanem, težkem položaju razumno, premišljeno ravna
najprisebnejšo | PRISEBEN - ki v nepričakovanem, težkem položaju razumno, premišljeno ravna
najprisrčnejša | PRISRČEN - ki ima, kaže do ljudi odkrit, naklonjen čustveni odnos
najprisrčnejše | PRISRČEN - ki ima, kaže do ljudi odkrit, naklonjen čustveni odnos
najprisrčnejši | PRISRČEN - ki ima, kaže do ljudi odkrit, naklonjen čustveni odnos
najprisrčnejšo | PRISRČEN - ki ima, kaže do ljudi odkrit, naklonjen čustveni odnos
najpristnejšem | PRISTEN - ki ima bistvene lastnosti, značilnosti glede na izvor, sestavine
najpristnejših | PRISTEN - ki ima bistvene lastnosti, značilnosti glede na izvor, sestavine
najpristnejšim | PRISTEN - ki ima bistvene lastnosti, značilnosti glede na izvor, sestavine
najprodornejša | PRODOREN - ki lahko prodre
najprodornejše | PRODOREN - ki lahko prodre
najprodornejši | PRODOREN - ki lahko prodre
najprodornejšo | PRODOREN - ki lahko prodre
najprometnejša | PROMETEN - nanašajoč se na promet
najprometnejše | PROMETEN - nanašajoč se na promet
najprometnejši | PROMETEN - nanašajoč se na promet
najprometnejšo | PROMETEN - nanašajoč se na promet
najprostejšega | PROST - ki je brez obveznosti in lahko sam razpolaga s svojim časom
najprostejšemu | PROST - ki je brez obveznosti in lahko sam razpolaga s svojim časom
najprostejšima | PROST - ki je brez obveznosti in lahko sam razpolaga s svojim časom
najprostejšimi | PROST - ki je brez obveznosti in lahko sam razpolaga s svojim časom
najprozornejša | PROZOREN - ki prepušča svetlobo
najprozornejše | PROZOREN - ki prepušča svetlobo
najprozornejši | PROZOREN - ki prepušča svetlobo
najprozornejšo | PROZOREN - ki prepušča svetlobo
najprožnejšega | PROŽEN - ki začasno, dokler deluje sila, spremeni svojo obliko
najprožnejšemu | PROŽEN - ki začasno, dokler deluje sila, spremeni svojo obliko
najprožnejšima | PROŽEN - ki začasno, dokler deluje sila, spremeni svojo obliko
najprožnejšimi | PROŽEN - ki začasno, dokler deluje sila, spremeni svojo obliko
najprvotnejšem | PRVOTEN - ki je bil, obstajal na določenem začetku
najprvotnejših | PRVOTEN - ki je bil, obstajal na določenem začetku
najprvotnejšim | PRVOTEN - ki je bil, obstajal na določenem začetku
najrazkošnejša | RAZKOŠEN - ki ima sestavine, lastnosti, ki presegajo zadovoljevanje potreb povprečnega človeka
najrazkošnejše | RAZKOŠEN - ki ima sestavine, lastnosti, ki presegajo zadovoljevanje potreb povprečnega človeka
najrazkošnejši | RAZKOŠEN - ki ima sestavine, lastnosti, ki presegajo zadovoljevanje potreb povprečnega človeka
najrazkošnejšo | RAZKOŠEN - ki ima sestavine, lastnosti, ki presegajo zadovoljevanje potreb povprečnega človeka
najrazličnejša | RAZLIČEN - ki se po lastnostih, značilnostih razlikuje
najrazličnejše | RAZLIČEN - ki se po lastnostih, značilnostih razlikuje
najrazličnejši | RAZLIČEN - ki se po lastnostih, značilnostih razlikuje
najrazličnejšo | RAZLIČEN - ki se po lastnostih, značilnostih razlikuje
najrazločnejša | RAZLOČEN - ki se dobro vidi ali sliši
najrazločnejše | RAZLOČEN - ki se dobro vidi ali sliši
najrazločnejši | RAZLOČEN - ki se dobro vidi ali sliši
najrazločnejšo | RAZLOČEN - ki se dobro vidi ali sliši
najrazsežnejša | RAZSEŽEN - ki zavzema razmeroma veliko površino, velik prostor
najrazsežnejše | RAZSEŽEN - ki zavzema razmeroma veliko površino, velik prostor
najrazsežnejši | RAZSEŽEN - ki zavzema razmeroma veliko površino, velik prostor
najrazsežnejšo | RAZSEŽEN - ki zavzema razmeroma veliko površino, velik prostor
najrazsipnejša | RAZSIPEN - ki pretirano, nepremišljeno porablja dobrine
najrazsipnejše | RAZSIPEN - ki pretirano, nepremišljeno porablja dobrine
najrazsipnejši | RAZSIPEN - ki pretirano, nepremišljeno porablja dobrine
najrazsipnejšo | RAZSIPEN - ki pretirano, nepremišljeno porablja dobrine
najrazsodnejša | RAZSODEN - ki v težkem položaju ravna razumno, premišljeno
najrazsodnejše | RAZSODEN - ki v težkem položaju ravna razumno, premišljeno
najrazsodnejši | RAZSODEN - ki v težkem položaju ravna razumno, premišljeno
najrazsodnejšo | RAZSODEN - ki v težkem položaju ravna razumno, premišljeno
najrazumnejšem | RAZUMEN - ki ima razum
najrazumnejših | RAZUMEN - ki ima razum
najrazumnejšim | RAZUMEN - ki ima razum
najrealnejšega | REALEN - ki v resnici obstaja ali se v resnici godi
najrealnejšemu | REALEN - ki v resnici obstaja ali se v resnici godi
najrealnejšima | REALEN - ki v resnici obstaja ali se v resnici godi
najrealnejšimi | REALEN - ki v resnici obstaja ali se v resnici godi
najredilnejšem | REDILEN - ki redi, debeli
najredilnejših | REDILEN - ki redi, debeli
najredilnejšim | REDILEN - ki redi, debeli
najresničnejša | RESNIČEN - ki je, se godi in ni rezultat izmišljanja, domišljije
najresničnejše | RESNIČEN - ki je, se godi in ni rezultat izmišljanja, domišljije
najresničnejši | RESNIČEN - ki je, se godi in ni rezultat izmišljanja, domišljije
najresničnejšo | RESNIČEN - ki je, se godi in ni rezultat izmišljanja, domišljije
najresnobnejša | RESNOBEN
najresnobnejše | RESNOBEN
najresnobnejši | RESNOBEN
najresnobnejšo | RESNOBEN
najrobustnejša | ROBUSTEN - ki zaradi izredne telesne razvitosti deluje nerodno, okorno
najrobustnejše | ROBUSTEN - ki zaradi izredne telesne razvitosti deluje nerodno, okorno
najrobustnejši | ROBUSTEN - ki zaradi izredne telesne razvitosti deluje nerodno, okorno
najrobustnejšo | ROBUSTEN - ki zaradi izredne telesne razvitosti deluje nerodno, okorno
najsamotnejšem | SAMOTEN - ki okoli sebe, v bližini nima drugih stvari svoje vrste
najsamotnejših | SAMOTEN - ki okoli sebe, v bližini nima drugih stvari svoje vrste
najsamotnejšim | SAMOTEN - ki okoli sebe, v bližini nima drugih stvari svoje vrste
najsebičnejšem | SEBIČEN - ki upošteva samo svoje koristi
najsebičnejših | SEBIČEN - ki upošteva samo svoje koristi
najsebičnejšim | SEBIČEN - ki upošteva samo svoje koristi
najsevernejšem | SEVEREN - nanašajoč se na sever
najsevernejših | SEVEREN - nanašajoč se na sever
najsevernejšim | SEVEREN - nanašajoč se na sever
najsigurnejšem | SIGUREN
najsigurnejših | SIGUREN
najsigurnejšim | SIGUREN
najsijajnejšem | SIJAJEN - ki ima sijaj
najsijajnejših | SIJAJEN - ki ima sijaj
najsijajnejšim | SIJAJEN - ki ima sijaj
najsilovitejša | SILOVIT - ki ima zelo veliko silo
najsilovitejše | SILOVIT - ki ima zelo veliko silo
najsilovitejši | SILOVIT - ki ima zelo veliko silo
najsilovitejšo | SILOVIT - ki ima zelo veliko silo
najskladnejšem | SKLADEN - katerega deli so v urejenem, zaželenem, lepem razmerju
najskladnejših | SKLADEN - katerega deli so v urejenem, zaželenem, lepem razmerju
najskladnejšim | SKLADEN - katerega deli so v urejenem, zaželenem, lepem razmerju
najskočnejšega | SKOČEN - ki se premika v skokih
najskočnejšemu | SKOČEN - ki se premika v skokih
najskočnejšima | SKOČEN - ki se premika v skokih
najskočnejšimi | SKOČEN - ki se premika v skokih
najskrajnejšem | SKRAJEN - ki je najbolj oddaljen od izhodišča, začetka
najskrajnejših | SKRAJEN - ki je najbolj oddaljen od izhodišča, začetka
najskrajnejšim | SKRAJEN - ki je najbolj oddaljen od izhodišča, začetka
najskrbnejšega | SKRBEN - ki s svojo aktivnostjo, prizadevanjem omogoča v zelo visoki stopnji
najskrbnejšemu | SKRBEN - ki s svojo aktivnostjo, prizadevanjem omogoča v zelo visoki stopnji
najskrbnejšima | SKRBEN - ki s svojo aktivnostjo, prizadevanjem omogoča v zelo visoki stopnji
najskrbnejšimi | SKRBEN - ki s svojo aktivnostjo, prizadevanjem omogoča v zelo visoki stopnji
najskrivnejšem | SKRIVEN - ki je tak, da se ne opazi, ne vidi
najskrivnejših | SKRIVEN - ki je tak, da se ne opazi, ne vidi
najskrivnejšim | SKRIVEN - ki je tak, da se ne opazi, ne vidi
najskromnejšem | SKROMEN - ki ne poudarja svojega pomena, vrednosti
najskromnejših | SKROMEN - ki ne poudarja svojega pomena, vrednosti
najskromnejšim | SKROMEN - ki ne poudarja svojega pomena, vrednosti
najskušenejšem | IZKUŠEN - ki ima izkušnje
najskušenejših | IZKUŠEN - ki ima izkušnje
najskušenejšim | IZKUŠEN - ki ima izkušnje
najslabotnejša | SLABOTEN - ki je brez moči, onemogel, zlasti zaradi bolezni
najslabotnejše | SLABOTEN - ki je brez moči, onemogel, zlasti zaradi bolezni
najslabotnejši | SLABOTEN - ki je brez moči, onemogel, zlasti zaradi bolezni
najslabotnejšo | SLABOTEN - ki je brez moči, onemogel, zlasti zaradi bolezni
najsladkejšega | SLADEK - ki je prijetnega okusa kot sladkor, med
najsladkejšemu | SLADEK - ki je prijetnega okusa kot sladkor, med
najsladkejšima | SLADEK - ki je prijetnega okusa kot sladkor, med
najsladkejšimi | SLADEK - ki je prijetnega okusa kot sladkor, med
najslastnejšem | SLASTEN - zelo okusen
najslastnejših | SLASTEN - zelo okusen
najslastnejšim | SLASTEN - zelo okusen
najslavnejšega | SLAVEN - ki se mu splošno priznava velika vrednost, veljava
najslavnejšemu | SLAVEN - ki se mu splošno priznava velika vrednost, veljava
najslavnejšima | SLAVEN - ki se mu splošno priznava velika vrednost, veljava
najslavnejšimi | SLAVEN - ki se mu splošno priznava velika vrednost, veljava
najslovesnejša | SLOVESEN - ki se opravlja po določenih predpisih, tako da se poudari pomembnost česa
najslovesnejše | SLOVESEN - ki se opravlja po določenih predpisih, tako da se poudari pomembnost česa
najslovesnejši | SLOVESEN - ki se opravlja po določenih predpisih, tako da se poudari pomembnost česa
najslovesnejšo | SLOVESEN - ki se opravlja po določenih predpisih, tako da se poudari pomembnost česa
najslovitejšem | SLOVIT - ki se mu splošno priznava velika vrednost ali veljava
najslovitejših | SLOVIT - ki se mu splošno priznava velika vrednost ali veljava
najslovitejšim | SLOVIT - ki se mu splošno priznava velika vrednost ali veljava
najsložnejšega | SLOŽEN - katerega člani se ne prepirajo, si ne nasprotujejo
najsložnejšemu | SLOŽEN - katerega člani se ne prepirajo, si ne nasprotujejo
najsložnejšima | SLOŽEN - katerega člani se ne prepirajo, si ne nasprotujejo
najsložnejšimi | SLOŽEN - katerega člani se ne prepirajo, si ne nasprotujejo
najsmešnejšega | SMEŠEN - ki vzbuja smeh
najsmešnejšemu | SMEŠEN - ki vzbuja smeh
najsmešnejšima | SMEŠEN - ki vzbuja smeh
najsmešnejšimi | SMEŠEN - ki vzbuja smeh
najsmotrnejšem | SMOTRN - usmerjen k določenemu cilju
najsmotrnejših | SMOTRN - usmerjen k določenemu cilju
najsmotrnejšim | SMOTRN - usmerjen k določenemu cilju
najsnažnejšega | SNAŽEN - ki je brez umazanije, prahu
najsnažnejšemu | SNAŽEN - ki je brez umazanije, prahu
najsnažnejšima | SNAŽEN - ki je brez umazanije, prahu
najsnažnejšimi | SNAŽEN - ki je brez umazanije, prahu
najsodobnejšem | SODOBEN - nanašajoč se na novejši čas, na sedanjost
najsodobnejših | SODOBEN - nanašajoč se na novejši čas, na sedanjost
najsodobnejšim | SODOBEN - nanašajoč se na novejši čas, na sedanjost
najsolidnejšem | SOLIDEN - ki izpolnjuje dolžnosti ali delovne zahteve
najsolidnejših | SOLIDEN - ki izpolnjuje dolžnosti ali delovne zahteve
najsolidnejšim | SOLIDEN - ki izpolnjuje dolžnosti ali delovne zahteve
najsorodnejšem | SORODEN - ki ima s čim skupen izvor, določene skupne značilnosti
najsorodnejših | SORODEN - ki ima s čim skupen izvor, določene skupne značilnosti
najsorodnejšim | SORODEN - ki ima s čim skupen izvor, določene skupne značilnosti
najspešnejšega | SPEŠEN
najspešnejšemu | SPEŠEN
najspešnejšima | SPEŠEN
najspešnejšimi | SPEŠEN
najsplošnejšem | SPLOŠEN - ki se nanaša na vse ljudi, stvari, ne na posameznika, posamezno
najsplošnejših | SPLOŠEN - ki se nanaša na vse ljudi, stvari, ne na posameznika, posamezno
najsplošnejšim | SPLOŠEN - ki se nanaša na vse ljudi, stvari, ne na posameznika, posamezno
najspodnejšega | SPODNJI - ki leži, je nižje
najspodnejšemu | SPODNJI - ki leži, je nižje
najspodnejšima | SPODNJI - ki leži, je nižje
najspodnejšimi | SPODNJI - ki leži, je nižje
najspodnjejšem | SPODNJI - ki leži, je nižje
najspodnjejših | SPODNJI - ki leži, je nižje
najspodnjejšim | SPODNJI - ki leži, je nižje
najspodobnejša | SPODOBEN - ki se vede v skladu z moralnimi, družabnimi pravili
najspodobnejše | SPODOBEN - ki se vede v skladu z moralnimi, družabnimi pravili
najspodobnejši | SPODOBEN - ki se vede v skladu z moralnimi, družabnimi pravili
najspodobnejšo | SPODOBEN - ki se vede v skladu z moralnimi, družabnimi pravili
najsposobnejša | SPOSOBEN - ki ima lastnosti, značilnosti, potrebne za dobro opravljanje kake dejavnosti
najsposobnejše | SPOSOBEN - ki ima lastnosti, značilnosti, potrebne za dobro opravljanje kake dejavnosti
najsposobnejši | SPOSOBEN - ki ima lastnosti, značilnosti, potrebne za dobro opravljanje kake dejavnosti
najsposobnejšo | SPOSOBEN - ki ima lastnosti, značilnosti, potrebne za dobro opravljanje kake dejavnosti
najspretnejšem | SPRETEN - sposoben opraviti delo, nalogo z lahkoto, brez spodrsljajev
najspretnejših | SPRETEN - sposoben opraviti delo, nalogo z lahkoto, brez spodrsljajev
najspretnejšim | SPRETEN - sposoben opraviti delo, nalogo z lahkoto, brez spodrsljajev
najsramotnejša | SRAMOTEN - ki ni v skladu s človekovim dostojanstvom, ponosom
najsramotnejše | SRAMOTEN - ki ni v skladu s človekovim dostojanstvom, ponosom
najsramotnejši | SRAMOTEN - ki ni v skladu s človekovim dostojanstvom, ponosom
najsramotnejšo | SRAMOTEN - ki ni v skladu s človekovim dostojanstvom, ponosom
najsrditejšega | SRDIT - zelo jezen
najsrditejšemu | SRDIT - zelo jezen
najsrditejšima | SRDIT - zelo jezen
najsrditejšimi | SRDIT - zelo jezen
najsrečnejšega | SREČEN - ki je v razmeroma trajnem stanju velikega duševnega ugodja
najsrečnejšemu | SREČEN - ki je v razmeroma trajnem stanju velikega duševnega ugodja
najsrečnejšima | SREČEN - ki je v razmeroma trajnem stanju velikega duševnega ugodja
najsrečnejšimi | SREČEN - ki je v razmeroma trajnem stanju velikega duševnega ugodja
najstabilnejša | STABILEN - trdno, zanesljivo stoječ
najstabilnejše | STABILEN - trdno, zanesljivo stoječ
najstabilnejši | STABILEN - trdno, zanesljivo stoječ
najstabilnejšo | STABILEN - trdno, zanesljivo stoječ
najstalnejšega | STALEN - ki se ne spreminja, ne spremeni
najstalnejšemu | STALEN - ki se ne spreminja, ne spremeni
najstalnejšima | STALEN - ki se ne spreminja, ne spremeni
najstalnejšimi | STALEN - ki se ne spreminja, ne spremeni
najstasitejšem | STASIT
najstasitejših | STASIT
najstasitejšim | STASIT
najstrastnejša | STRASTEN - ki ima zelo močno trajno čustvo, težko obvladljivo z voljo, razumom
najstrastnejše | STRASTEN - ki ima zelo močno trajno čustvo, težko obvladljivo z voljo, razumom
najstrastnejši | STRASTEN - ki ima zelo močno trajno čustvo, težko obvladljivo z voljo, razumom
najstrastnejšo | STRASTEN - ki ima zelo močno trajno čustvo, težko obvladljivo z voljo, razumom
najstrašnejšem | STRAŠEN - ki ima strah vzbujajoče lastnosti
najstrašnejših | STRAŠEN - ki ima strah vzbujajoče lastnosti
najstrašnejšim | STRAŠEN - ki ima strah vzbujajoče lastnosti
najstrpnejšega | STRPEN - ki dopušča o določeni stvari drugačno, nasprotno mnenje, nazor
najstrpnejšemu | STRPEN - ki dopušča o določeni stvari drugačno, nasprotno mnenje, nazor
najstrpnejšima | STRPEN - ki dopušča o določeni stvari drugačno, nasprotno mnenje, nazor
najstrpnejšimi | STRPEN - ki dopušča o določeni stvari drugačno, nasprotno mnenje, nazor
najstvarnejšem | STVAREN - nanašajoč se na snovne stvari
najstvarnejših | STVAREN - nanašajoč se na snovne stvari
najstvarnejšim | STVAREN - nanašajoč se na snovne stvari
najsubtilnejša | SUBTILEN
najsubtilnejše | SUBTILEN
najsubtilnejši | SUBTILEN
najsubtilnejšo | SUBTILEN
najsumljivejša | SUMLJIV - ki vzbuja sum
najsumljivejše | SUMLJIV - ki vzbuja sum
najsumljivejši | SUMLJIV - ki vzbuja sum
najsumljivejšo | SUMLJIV - ki vzbuja sum
najsurovejšega | SUROV - ki je v naravnem stanju in ni obdelan, očiščen
najsurovejšemu | SUROV - ki je v naravnem stanju in ni obdelan, očiščen
najsurovejšima | SUROV - ki je v naravnem stanju in ni obdelan, očiščen
najsurovejšimi | SUROV - ki je v naravnem stanju in ni obdelan, očiščen
najsvetlejšega | SVETEL - po stopnji barvne izrazitosti podoben navadni, dnevni svetlobi
najsvetlejšemu | SVETEL - po stopnji barvne izrazitosti podoben navadni, dnevni svetlobi
najsvetlejšima | SVETEL - po stopnji barvne izrazitosti podoben navadni, dnevni svetlobi
najsvetlejšimi | SVETEL - po stopnji barvne izrazitosti podoben navadni, dnevni svetlobi
najsvobodnejša | SVOBODEN - podrejen samo zakonom in ne neomejeni, samovoljni oblasti koga
najsvobodnejše | SVOBODEN - podrejen samo zakonom in ne neomejeni, samovoljni oblasti koga
najsvobodnejši | SVOBODEN - podrejen samo zakonom in ne neomejeni, samovoljni oblasti koga
najsvobodnejšo | SVOBODEN - podrejen samo zakonom in ne neomejeni, samovoljni oblasti koga
najštevilnejša | ŠTEVILEN - ki izraža veliko število oseb, stvari kake celote
najštevilnejše | ŠTEVILEN - ki izraža veliko število oseb, stvari kake celote
najštevilnejši | ŠTEVILEN - ki izraža veliko število oseb, stvari kake celote
najštevilnejšo | ŠTEVILEN - ki izraža veliko število oseb, stvari kake celote
najtaktnejšega | TAKTEN - ki primerno ravna, se vede pri sporazumevanju, v stikih z ljudmi
najtaktnejšemu | TAKTEN - ki primerno ravna, se vede pri sporazumevanju, v stikih z ljudmi
najtaktnejšima | TAKTEN - ki primerno ravna, se vede pri sporazumevanju, v stikih z ljudmi
najtaktnejšimi | TAKTEN - ki primerno ravna, se vede pri sporazumevanju, v stikih z ljudmi
najtehtnejšega | TEHTEN - ki ima velik pomen, veliko vrednost
najtehtnejšemu | TEHTEN - ki ima velik pomen, veliko vrednost
najtehtnejšima | TEHTEN - ki ima velik pomen, veliko vrednost
najtehtnejšimi | TEHTEN - ki ima velik pomen, veliko vrednost
najtemačnejšem | TEMAČEN - ki ni popolnoma temen
najtemačnejših | TEMAČEN - ki ni popolnoma temen
najtemačnejšim | TEMAČEN - ki ni popolnoma temen
najtesnobnejša | TESNOBEN - nanašajoč se na tesnobo
najtesnobnejše | TESNOBEN - nanašajoč se na tesnobo
najtesnobnejši | TESNOBEN - nanašajoč se na tesnobo
najtesnobnejšo | TESNOBEN - nanašajoč se na tesnobo
najtežavnejšem | TEŽAVEN - za katerega je potreben velik trud, spretnost, sposobnost
najtežavnejših | TEŽAVEN - za katerega je potreben velik trud, spretnost, sposobnost
najtežavnejšim | TEŽAVEN - za katerega je potreben velik trud, spretnost, sposobnost
najtipičnejšem | TIPIČEN - ki ima take lastnosti, značilnosti, da osebo, stvar, pojav uvršča v posebno skupino iste vrste
najtipičnejših | TIPIČEN - ki ima take lastnosti, značilnosti, da osebo, stvar, pojav uvršča v posebno skupino iste vrste
najtipičnejšim | TIPIČEN - ki ima take lastnosti, značilnosti, da osebo, stvar, pojav uvršča v posebno skupino iste vrste
najtrajnejšega | TRAJEN - ki je, obstaja, se pojavlja neomejeno dolgo obdobje
najtrajnejšemu | TRAJEN - ki je, obstaja, se pojavlja neomejeno dolgo obdobje
najtrajnejšima | TRAJEN - ki je, obstaja, se pojavlja neomejeno dolgo obdobje
najtrajnejšimi | TRAJEN - ki je, obstaja, se pojavlja neomejeno dolgo obdobje
najtreznejšega | TREZEN - ki ni pod vplivom alkoholne pijače
najtreznejšemu | TREZEN - ki ni pod vplivom alkoholne pijače
najtreznejšima | TREZEN - ki ni pod vplivom alkoholne pijače
najtreznejšimi | TREZEN - ki ni pod vplivom alkoholne pijače
najtrpežnejšem | TRPEŽEN - ki kljub uporabi, obdelovanju dalj časa ne spremeni svojih bistvenih lastnosti, značilnosti
najtrpežnejših | TRPEŽEN - ki kljub uporabi, obdelovanju dalj časa ne spremeni svojih bistvenih lastnosti, značilnosti
najtrpežnejšim | TRPEŽEN - ki kljub uporabi, obdelovanju dalj časa ne spremeni svojih bistvenih lastnosti, značilnosti
najtrudnejšega | TRUDEN - ki zaradi zmanjšanja telesnih, duševnih sil ni zmožen opravljati kakega dela
najtrudnejšemu | TRUDEN - ki zaradi zmanjšanja telesnih, duševnih sil ni zmožen opravljati kakega dela
