acetilenk | ACETILENKA - svetilka na acetilen
acetilenu | ACETILEN - gorljiv plin, ki nastane iz kalcijevega karbida in vode
acetilira | ACETILIRATI - > ACETILIRANJE - [farm.] metabolična reakcija II. reda, pri kateri se acetilira aminska skupina
acetilnem | ACETILEN - pridevnik od acetil
acetilnih | ACETILEN - pridevnik od acetil
acetilnim | ACETILEN - pridevnik od acetil
acetiloma | ACETIL - radikal ocetne kisline
acetisala | ACETISAL - [pravopis]
acetisale | ACETISAL - [pravopis]
acetisali | ACETISAL - [pravopis]
acetisalu | ACETISAL - [pravopis]
acetonoma | ACETON - brezbarvna, vnetljiva, hlapljiva tekočina, ki topi smole in masti
acetonska | ACETONSKI - nanašajoč se na aceton
acetonske | ACETONSKI - nanašajoč se na aceton
acetonski | nanašajoč se na aceton
acetonsko | ACETONSKI - nanašajoč se na aceton
acetorfan | > ENKEFALINAZA - [farm.] v zvezi »inhibitor enkefalinaze«: antidiaroik, ki z zaviranjem najpomembnejšega encima za razgradnjo endogenih opioidnih peptidov zmanjša izločanje vode v črevesje, npr. acetorfan
aciditeta | [sinonimni]
aciditete | ACIDITETA - [sinonimni]
aciditeti | ACIDITETA - [sinonimni]
aciditeto | ACIDITETA - [sinonimni]
acidnosti | ACIDNOST - lastnost acidne snovi
acidozama | ACIDOZA - zastrupitev s kislimi snovmi
acidozami | ACIDOZA - zastrupitev s kislimi snovmi
acikličen | ki se ne pojavlja v ciklih
aciklična | ACIKLIČEN - ki se ne pojavlja v ciklih
aciklične | ACIKLIČEN - ki se ne pojavlja v ciklih
aciklični | ACIKLIČEN - ki se ne pojavlja v ciklih
aciklično | ACIKLIČEN - ki se ne pojavlja v ciklih
aciklovir | > NUKLEOZIDEN - [farm.] v zvezi »nukleozidna protivirusna učinkovina«: protivirusna učinkovina, ki se kot antimetabolit običajnih nukleozidov vgradi v strukturo nastajajoče virusne DNA ali zavira določen encim, povezan z nukleinskimi kislinami, in s tem prepreči razmnoževanje virusov v okuženi celici, npr. aciklovir, vidarabin, zidovudin
acilirana | ACILIRAN - > ANILIDI - [farm.] nesteroidni analgetiki in antipiretiki, acilirani derivati anilina, ki zavirajo encim ciklooksigenazo, npr. paracetamol
acilirane | ACILIRAN - > ANILIDI - [farm.] nesteroidni analgetiki in antipiretiki, acilirani derivati anilina, ki zavirajo encim ciklooksigenazo, npr. paracetamol
acilirani | ACILIRAN - > ANILIDI - [farm.] nesteroidni analgetiki in antipiretiki, acilirani derivati anilina, ki zavirajo encim ciklooksigenazo, npr. paracetamol
acilirano | ACILIRAN - > ANILIDI - [farm.] nesteroidni analgetiki in antipiretiki, acilirani derivati anilina, ki zavirajo encim ciklooksigenazo, npr. paracetamol
acinusoma | ACINUS - [sinonimni]
aconalnem | ACONALEN - [bot.] v zvezi »aconalna tla«: tla brez izoblikovanih horizontov, ki so nastala zlasti pod vplivom teksture tal, npr. kamnišče, prodišče
